split,seed,corruption_rate,imputer,model,accuracy,f1_macro,fit_time_s,predict_time_s,peak_mem_kb
60/40,43,0.3,median,OVO_GD,0.8402741170268846,0.8213763338505308,1.3525320999979158,0.20421519999945303,1105.935546875
60/40,43,0.3,median,Softmax_GD,0.816552451238798,0.7899937242353239,0.5453931000010925,0.0006952000003366265,3147.2734375
60/40,43,0.3,median,LDA,0.8463363205060622,0.8376702150399821,0.004083100000570994,0.4536785000018426,526.203125
60/40,43,0.3,median,QDA,0.8774380600948867,0.8806115002453858,0.0030002999992575496,0.37197069999820087,537.177734375
60/40,43,0.3,median,GNB,0.8737480231945176,0.8738143088435327,0.0032990999970934354,0.002343000000109896,1194.7265625
60/40,43,0.3,knn,OVR_GD,0.8463363205060622,0.7691386397807746,0.8799538999992365,0.001174700002593454,1339.484375
60/40,43,0.3,knn,OVO_GD,0.8885081707959936,0.8821341971629236,1.3235633999975107,0.19815870000093128,1105.935546875
60/40,43,0.3,knn,Softmax_GD,0.8726937269372693,0.8634950587440938,0.5442566999990959,0.0009283999970648438,3147.2734375
60/40,43,0.3,knn,LDA,0.8921982076963627,0.8999321374874241,0.003543100003298605,0.47896810000020196,526.203125
60/40,43,0.3,knn,QDA,0.8505535055350554,0.8684615176423927,0.003064000000449596,0.37097199999698205,537.2236328125
60/40,43,0.3,knn,GNB,0.8856088560885609,0.889391508614923,0.003526200001942925,0.0016928000004554633,1190.0078125
60/40,44,0.1,mean,OVR_GD,0.8468634686346863,0.763002497286911,0.9762719999998808,0.0013688000035472214,1339.484375
60/40,44,0.1,mean,OVO_GD,0.8816552451238798,0.8651988681372076,1.3472414999996545,0.2172881000005873,1105.935546875
60/40,44,0.1,mean,Softmax_GD,0.8653136531365314,0.8477909471349668,0.555025099998602,0.0010848999991139863,3147.2734375
60/40,44,0.1,mean,LDA,0.8877174486030575,0.8909635861683654,0.0026932000000670087,0.4831802000007883,526.203125
60/40,44,0.1,mean,QDA,0.7959936742224565,0.8252442542714695,0.003922500000044238,0.3753175000019837,537.177734375
60/40,44,0.1,mean,GNB,0.8885081707959936,0.8914113823708805,0.0033031999992090277,0.0025990999965870287,1194.7265625
60/40,44,0.1,median,OVR_GD,0.845809172377438,0.7616714880002614,0.971744900001795,0.0013674999972863588,1339.484375
60/40,44,0.1,median,OVO_GD,0.8803373748023194,0.8624550739262776,1.436295200001041,0.2142496000014944,1106.560546875
60/40,44,0.1,median,Softmax_GD,0.8668950975224038,0.8497385752053516,0.568219599997974,0.0006838000008428935,3147.2734375
60/40,44,0.1,median,LDA,0.8863995782814971,0.8881713337498576,0.003691800000524381,0.4694390000004205,526.203125
60/40,44,0.1,median,QDA,0.7928307854507116,0.8215837804304548,0.003593699999328237,0.40613460000167834,537.177734375
60/40,44,0.1,median,GNB,0.8887717448603057,0.8919465309775994,0.0035231000001658686,0.00224760000128299,1194.7265625
60/40,44,0.1,knn,OVR_GD,0.8560885608856088,0.7718976030453548,0.8881830999998783,0.001815399999031797,1339.484375
60/40,44,0.1,knn,OVO_GD,0.8924617817606747,0.8827579744408794,1.360707399999228,0.20581060000040452,1105.935546875
60/40,44,0.1,knn,Softmax_GD,0.8813916710595677,0.8720757954288949,0.5658491000031063,0.0009540999999444466,3147.2734375
60/40,44,0.1,knn,LDA,0.8964153927253559,0.9115559008091563,0.004211200001009274,0.45873410000058357,526.203125
60/40,44,0.1,knn,QDA,0.8777016341591988,0.8951988172925492,0.003778899997996632,0.3997355999999854,537.177734375
60/40,44,0.1,knn,GNB,0.8948339483394834,0.9029719214258737,0.005134700000780867,0.00257929999861517,1190.0078125
60/40,44,0.2,mean,OVR_GD,0.8334211913547707,0.7481397495245831,0.9698405000017374,0.003270199998951284,1340.109375
60/40,44,0.2,mean,OVO_GD,0.8658408012651555,0.8469605723842333,1.3164332000014838,0.21602119999806746,1105.935546875
60/40,44,0.2,mean,Softmax_GD,0.8463363205060622,0.8254594678357662,0.5605615999993461,0.0005808000023534987,3147.2734375
60/40,44,0.2,mean,LDA,0.8755930416447022,0.870591605049295,0.005315499998687301,0.4568927000000258,526.203125
60/40,44,0.2,mean,QDA,0.8608328940432262,0.8732040944362623,0.003492200001346646,0.39047299999947427,537.177734375
60/40,44,0.2,mean,GNB,0.882445967316816,0.8852919076498005,0.0029509999985748436,0.0019349999965925235,1194.7265625
60/40,44,0.2,median,OVR_GD,0.8336847654190828,0.7503787117337651,0.9118599000030372,0.001504799998656381,1339.484375
60/40,44,0.2,median,OVO_GD,0.8642593568792831,0.8447027944004176,1.3678413999987242,0.2022097000008216,1105.935546875
60/40,44,0.2,median,Softmax_GD,0.8481813389562467,0.8266299509880766,0.6885308000018995,0.0008468999985780101,3147.2734375
60/40,44,0.2,median,LDA,0.8734844491302056,0.8673281689603567,0.003414100003283238,0.4689567999994324,526.203125
60/40,44,0.2,median,QDA,0.8568792830785451,0.8701288729119838,0.0036373000002640765,0.36926089999906253,537.2236328125
60/40,44,0.2,median,GNB,0.8800738007380073,0.8822025992514447,0.004297300001780968,0.0026437999986228533,1194.7265625
60/40,44,0.2,knn,OVR_GD,0.8581971534001054,0.7777683320552541,0.9079936999987694,0.001354100000753533,1339.484375
60/40,44,0.2,knn,OVO_GD,0.8921982076963627,0.8836441752270235,1.3840560000026016,0.20682680000027176,1105.935546875
60/40,44,0.2,knn,Softmax_GD,0.8813916710595677,0.8727358666947561,0.5793641999989632,0.0006897000021126587,3147.2734375
60/40,44,0.2,knn,LDA,0.8958882445967317,0.9108250420207947,0.0024259999991045333,0.4745432999989134,526.203125
60/40,44,0.2,knn,QDA,0.8711122825513969,0.8893291659388067,0.004075799999554874,0.35135319999972126,537.177734375
60/40,44,0.2,knn,GNB,0.893252503953611,0.9011132346715681,0.0028696000008494593,0.0014605999967898242,1190.0078125
60/40,44,0.3,mean,OVR_GD,0.8054823405376911,0.7192977787628563,0.9322986000006495,0.0017049999987648334,1339.484375
60/40,44,0.3,mean,OVO_GD,0.8373748023194517,0.8125591540963211,1.3418252999981632,0.21334009999918635,1105.935546875
60/40,44,0.3,mean,Softmax_GD,0.8220875065893516,0.7940279715679932,0.5419179999989865,0.0008978000005299691,3147.8984375
60/40,44,0.3,mean,LDA,0.8473906167633105,0.8352047104390941,0.003407699998206226,0.49132409999947413,526.203125
60/40,44,0.3,mean,QDA,0.8758566157090142,0.8807363754936794,0.003097900000284426,0.3734541000012541,537.1318359375
60/40,44,0.3,mean,GNB,0.8737480231945176,0.8749111226044052,0.0034503999995649792,0.0026304000020900276,1194.7265625
60/40,44,0.3,median,OVR_GD,0.8046916183447549,0.7165570966793334,0.9068623999992269,0.001243600003363099,1339.484375
60/40,44,0.3,median,OVO_GD,0.8360569319978914,0.8093317488706188,1.3220532999985153,0.19996910000190837,1105.935546875
60/40,44,0.3,median,Softmax_GD,0.8218239325250395,0.7916511108811612,0.6003208000001905,0.0008706000007805414,3147.2734375
60/40,44,0.3,median,LDA,0.845545598313126,0.8309199068639569,0.002674999999726424,0.4916888999978255,526.203125
60/40,44,0.3,median,QDA,0.8721665788086452,0.8782924243307738,0.0036220000001776498,0.3840761999999813,537.26953125
60/40,44,0.3,median,GNB,0.8700579862941487,0.8717898842645783,0.0033998999970208388,0.0019353999996383209,1194.7265625
60/40,44,0.3,knn,OVR_GD,0.8510806536636795,0.7710168568827134,0.9125220999994781,0.0013474999977916013,1339.484375
60/40,44,0.3,knn,OVO_GD,0.8829731154454402,0.8730375864250733,1.2802056000000448,0.19460470000194618,1105.935546875
60/40,44,0.3,knn,Softmax_GD,0.8737480231945176,0.8619244130049847,0.5482480999999098,0.0005965999989712145,3147.2734375
60/40,44,0.3,knn,LDA,0.8961518186610438,0.9060946771497272,0.006576400002813898,0.46905019999758224,526.203125
60/40,44,0.3,knn,QDA,0.8241960991038482,0.8502838462319563,0.003788000001804903,0.3754423999998835,537.26953125
60/40,44,0.3,knn,GNB,0.8879810226673696,0.8934565932341754,0.003251900001487229,0.001924600001075305,1190.0078125
60/40,45,0.1,mean,OVR_GD,0.8368476541908276,0.7497040585005651,0.9118035999999847,0.0014403000022866763,1339.484375
60/40,45,0.1,mean,OVO_GD,0.875065893516078,0.8655169784842253,1.3238891000000876,0.19717409999793745,1105.935546875
60/40,45,0.1,mean,Softmax_GD,0.8610964681075383,0.8457926476549469,0.5760393999989901,0.0008754999980737921,3147.2734375
60/40,45,0.1,mean,LDA,0.8882445967316817,0.8913825126953648,0.0027016999993065838,0.4669090999996115,526.203125
60/40,45,0.1,mean,QDA,0.812598840274117,0.8392998388890766,0.003101400001469301,0.3987100000013015,537.26953125
60/40,45,0.1,mean,GNB,0.8821823932525039,0.8874800675468383,0.0030057999974815175,0.0019198999980289955,1194.7265625
60/40,45,0.1,median,OVR_GD,0.838165524512388,0.7505153606650495,0.9218841000001703,0.001639199999772245,1339.484375
60/40,45,0.1,median,OVO_GD,0.8771744860305746,0.8671801466652366,1.2663219999994908,0.19203780000316328,1105.935546875
60/40,45,0.1,median,Softmax_GD,0.8613600421718502,0.8459650809541545,0.5747658000000229,0.0007804999986547045,3147.2734375
60/40,45,0.1,median,LDA,0.8861360042171851,0.8894008824029592,0.0025759999989531934,0.4486185999994632,526.203125
60/40,45,0.1,median,QDA,0.8083816552451238,0.8352372804407421,0.002828699998644879,0.36191369999869494,537.3154296875
60/40,45,0.1,median,GNB,0.882445967316816,0.8886175552957344,0.0031065000002854504,0.001927500001329463,1194.7265625
60/40,45,0.1,knn,OVR_GD,0.8523985239852399,0.7726064897663368,0.886730099999113,0.0018373000020801555,1339.484375
60/40,45,0.1,knn,OVO_GD,0.8964153927253559,0.8947909154724669,1.3043914000008954,0.18783059999987017,1105.935546875
60/40,45,0.1,knn,Softmax_GD,0.8803373748023194,0.876008323660412,0.5859037000009266,0.000656899999739835,3147.2734375
60/40,45,0.1,knn,LDA,0.8987875593041644,0.9154013203100765,0.003543099999660626,0.4731091999965429,526.203125
60/40,45,0.1,knn,QDA,0.8863995782814971,0.9032418324345779,0.0028616999989026226,0.3757173000012699,537.26953125
60/40,45,0.1,knn,GNB,0.8948339483394834,0.9031966425276183,0.0036147999999229796,0.0015679999996791594,1190.0078125
60/40,45,0.2,mean,OVR_GD,0.8194517659462309,0.7300160575650426,0.9875663999991957,0.00203719999990426,1339.484375
60/40,45,0.2,mean,OVO_GD,0.8539799683711122,0.8367493993673355,1.31090249999761,0.1949373999996169,1105.935546875
60/40,45,0.2,mean,Softmax_GD,0.8397469688982604,0.8179037426394263,0.5527672000025632,0.0006357999991450924,3147.2734375
60/40,45,0.2,mean,LDA,0.8632050606220348,0.8594560173041789,0.0025278000030084513,0.47002659999998286,526.203125
60/40,45,0.2,mean,QDA,0.8663679493937797,0.8785334722284187,0.003021100001205923,0.3937538999998651,537.26953125
60/40,45,0.2,mean,GNB,0.8803373748023194,0.8860971415954689,0.0027326000017637853,0.0018060000002151355,1194.7265625
60/40,45,0.2,median,OVR_GD,0.8202424881391671,0.7300427366433528,0.9147362000003341,0.0017991000022448134,1339.484375
