split,seed,model,sigma,f1_macro,f1_drop,fit_time_s,predict_time_s,peak_mem_kb
70/30,46,LDA,0.1,0.37174163522094233,0.5465628889724989,0.003978600027039647,0.5190612999722362,602.59375
70/30,46,LDA,0.5,0.15994130496876677,0.7583632192246745,0.004345400026068091,0.5194721999578178,602.5
70/30,46,LDA,1.0,0.10877646543065901,0.8095280587627823,0.004031600023154169,0.5137411000323482,602.5
70/30,46,QDA,0.0,0.9227842481160674,0.0,0.004746199992951006,0.43451950000599027,613.5654296875
70/30,46,QDA,0.1,0.16143838118416884,0.7613458669318985,0.004793100000824779,0.4352500999812037,613.3251953125
70/30,46,QDA,0.5,0.0965179987071696,0.8262662494088978,0.004689000023063272,0.4271081000333652,613.2626953125
70/30,46,QDA,1.0,0.10850109236142254,0.8142831557546448,0.0048649999662302434,0.4371695999871008,613.2626953125
70/30,46,GNB,0.0,0.9050816809229153,0.0,0.005576299969106913,0.0021112000104039907,913.8125
70/30,46,GNB,0.1,0.742183541313623,0.16289813960929234,0.005326599988620728,0.002008599985856563,914.2890625
70/30,46,GNB,0.5,0.5818590218896459,0.3232226590332694,0.005219400045461953,0.002060999977402389,913.6796875
70/30,46,GNB,1.0,0.3424322263898973,0.5626494545330181,0.005648599995765835,0.002225100004579872,913.7265625
80/20,42,OVR_GD,0.0,0.7836708393075505,0.0,1.6384209000389092,0.0012012000079266727,1665.99609375
